subject,accuracy,precision,recall,f1,roc_auc,pr_auc
S2,0.8955223880597015,0.7727272727272727,0.8947368421052632,0.8292682926829268,0.9583333333333334,0.8358480586952224
S3,0.8235294117647058,0.75,0.6,0.6666666666666666,0.9072916666666667,0.7817976207621518
S4,0.9705882352941176,1.0,0.9,0.9473684210526315,1.0,1.0000000000000002
S5,0.8985507246376812,0.7407407407407407,1.0,0.851063829787234,0.9943877551020408,0.9812558356676004
S6,0.8115942028985508,1.0,0.35,0.5185185185185185,0.9382653061224491,0.8664686045482458
S7,1.0,1.0,1.0,1.0,1.0,1.0
S8,0.9855072463768116,1.0,0.9523809523809523,0.975609756097561,1.0,1.0
S9,0.8405797101449275,0.9090909090909091,0.5,0.6451612903225806,0.710204081632653,0.6509870966392706
S10,0.7638888888888888,0.6,0.782608695652174,0.6792452830188679,0.8921916592724046,0.819927512879827
S11,0.9142857142857143,1.0,0.7142857142857143,0.8333333333333334,0.9961127308066083,0.9893990929705216
S13,0.9428571428571428,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.9912536443148687,0.9816262684683739
S14,0.9857142857142858,0.9545454545454546,1.0,0.9767441860465116,1.0,1.0
S15,0.7285714285714285,0.5416666666666666,0.6190476190476191,0.5777777777777777,0.7011661807580175,0.5542285767495614
S16,0.9142857142857143,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.9460641399416909,0.8121790557151658
S17,0.9583333333333334,0.9166666666666666,0.9565217391304348,0.9361702127659575,0.9982253771073647,0.9965217391304347
